MID,NAME,DRISCRIPTION,PRICE,AVAILABILITY
MM01,ASTHAKIND P,LOOSENS AND RELIEVES CHEST CONGESTION,54.56,1
MM02,DOLO-650,"FEVER,HEADACHE,MIGRAINE",34,1
MM03,MEFTAL-500,RELIEVES PAIN AND INFLAMMATION,28,1
MM04,NISE 100,RELIEVES PAIN AND TREATS FEVER,107,1
MM05,HOSOL-S6,TREATS ECZEMA,254.15,1
MM06,COVATE,"TREATS DERMATITIS, ECZEMA AND ALLERGIES",54,1
MM07,CODISTAR DX,TREATS COUGH,92,1
MM08,SIZODON MD,MANAGES SCHIZOPHRENIA,25.6,1
MM09,FOLVITE MB,IMPROVES IMMUNITY,179,1
MM10,MM10,"HELPS TREAT SNEEZING, RUNNY NOSE, WATERY EYES AND THROAT IRRITATION",103.2,1
MM11,AZITHRAL TABLET,"TREATS RESPIRATORY INFECTIONS, SKIN INFECTIONS, EAR INFECTIONS, EYE INFECTIONS",104.96,1
MM12,ERYTHROCIN 500,"EFFECTIVE IN INFECTION OF RESPIRATORY TRACT, EAR, NOSE, THROAT, LUNGS AND SKIN",88.24,1
MM13,LIV.52,RESTORES LIVER FUNCTION,150,1
MM14,GASEX,PROMOTES HEALTHY DIGESTIVE FUNCTIONING,155,1
MM15,EPITRIL,"TREATMENT OF ANXIETY DISORDER, EPILEPSY/SEIZURES",46.1,1
MM16,ALDACTONE,TREATMENT OF HEART FAILURE AND HIGH BLOOD PRESSURE,28.8,1
MM17,FESTIVE D,TREATS BACTERIAL INFECTION,53,1
MM18,VICKS,PROVIDES RELIEF IN COUGH AND COLD,42,1
MM19,STREPSILS,SORE THROAT AND BLOCKED NOSE,45,1
MM20,D3 SURE NANO SHOT,TREATS LOW BLOOD CALCIUM LEVELS,77,1
MM21,THYRONORM,TREATS UNDERACTIVE THYROID,164.9,1
MM22,PATANJALI DRISHTI,TREATS EYE PROBLEM,20,1
MM23,CARDIVAS,TREATS HIGH BLOOD PRESSURE,34.8,1
MM24,PANTOP,REDUCES AMOUNT OF ACID PRESENT IN STOMACH,124,1
MM25,ACILOC,"TREATS AND PREVENT HEARTBURN, INDIGESTION",32.75,1
MM26,DISPRIN,"TREATS HEADACHE, TOOTHACHE, MUSCLE PAIN AND FEVER",13,1
MM27,DIGENE,PROVIDES RELIEF FROM ACIDITY AND GAS,185,1
MM28,DUPHALAC,TREATS CONSTIPATION,487,1
MM29,AMAZEO,TREATS SCHIZOPHRENIA,152.1,1
MM30,OZAPIN,TREATS SCHIZOPHRENIA,79.44,1
MM31,RECITA,TREATS DEPRESSION,90.4,1
MM32,RECHARGE PLUS,PROVIDES MULTIPLE VITAMINS,101,1
MM33,SORBITRATE,PREVENTS CHEST PAIN,37.18,1
MM34,ECOSPRIN,"TREATS AND PREVENT HEART ATTACKS, STROKES AND HEART RELATED CHEST PAIN",5,1
MM35,BENADRYL,TREATS COUGH,109.6,1
MM36,CETRIZINE,"TREATS HAY FEVER, CONJUNCTIVITIS AND SOME SKIN REACTIONS",12,1
MM37,BECOSULES,MANAGES SORE TONGUE AND MOUTH ULCERS,47,1
